,id,week,match_header,home_team,home_wins,home_losses,home_ties,home_pts,home_pts_output,home_blk,home_blk_output,home_3pm,home_3pm_output,home_stl,home_stl_output,home_ast,home_ast_output,home_reb,home_reb_output,home_to,home_to_output,away_team,away_wins,away_losses,away_ties,away_pts,away_pts_output,away_blk,away_blk_output,away_3pm,away_3pm_output,away_stl,away_stl_output,away_ast,away_ast_output,away_reb,away_reb_output,away_to,away_to_output,match_output
23,59a8511fd4a618e66441b5a0b7b843c1ff95d583bb2022e1179d44046b3ff873,5,Box Score(Team(Jamallers) at Team(Botafogo Trentini)),Team(Botafogo Trentini),4,2,1,536.0,WIN,18.0,TIE,64.0,WIN,26.0,LOSS,146.0,WIN,212.0,WIN,68.0,LOSS,Team(Jamallers),2,4,1,483.0,LOSS,18.0,TIE,50.0,LOSS,38.0,WIN,123.0,LOSS,168.0,LOSS,56.0,WIN,HOME
24,e640272a43643f2c26c9caca80ea092dc81a7c1320071ce053613197da9020dc,5,Box Score(Team(Miami Raters) at Team(Spartans)),Team(Spartans),1,5,1,522.0,LOSS,25.0,TIE,52.0,LOSS,33.0,LOSS,192.0,WIN,187.0,LOSS,79.0,LOSS,Team(Miami Raters),5,1,1,577.0,WIN,25.0,TIE,64.0,WIN,36.0,WIN,140.0,LOSS,208.0,WIN,64.0,WIN,AWAY
25,fb92e1018d4c31d0dd11f841386bfe115ebf3689a8f3c0b0256bdee1bf1d76fa,6,Box Score(Team(Jamallers) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),6,1,0,779.0,WIN,35.0,WIN,91.0,WIN,53.0,WIN,182.0,WIN,320.0,WIN,100.0,LOSS,Team(Jamallers),1,6,0,550.0,LOSS,17.0,LOSS,55.0,LOSS,39.0,LOSS,149.0,LOSS,182.0,LOSS,74.0,WIN,HOME
26,55fc0dfa9b4a8ebff3c3edc509426176ab663c9d7570037b871fe4dd9ba1857b,6,Box Score(Team(Botafogo Trentini) at Team(Miami Raters)),Team(Miami Raters),3,4,0,628.0,LOSS,23.0,WIN,87.0,WIN,37.0,LOSS,127.0,LOSS,202.0,LOSS,64.0,WIN,Team(Botafogo Trentini),4,3,0,695.0,WIN,18.0,LOSS,56.0,LOSS,49.0,WIN,224.0,WIN,327.0,WIN,95.0,LOSS,AWAY
27,269a2c49fee22538ed006320403efd8998e2eb20e7748dbaa66d2d8004a0942e,6,Box Score(Team(Pestana's) at Team(Spartans)),Team(Spartans),2,5,0,554.0,LOSS,19.0,WIN,58.0,LOSS,31.0,LOSS,152.0,LOSS,172.0,LOSS,72.0,WIN,Team(Pestana's),5,2,0,711.0,WIN,18.0,LOSS,87.0,WIN,35.0,WIN,189.0,WIN,205.0,WIN,90.0,LOSS,AWAY
28,3bf1018e8dd1654c2c4819c3db96deedb2c5a63b3bcf4be7be045a64167120b2,6,Box Score(Team(Red Devils) at Team(Team Squirtle)),Team(Team Squirtle),1,6,0,274.0,LOSS,4.0,LOSS,33.0,LOSS,27.0,LOSS,92.0,LOSS,78.0,LOSS,25.0,WIN,Team(Red Devils),6,1,0,835.0,WIN,26.0,WIN,90.0,WIN,35.0,WIN,178.0,WIN,245.0,WIN,82.0,LOSS,AWAY
29,e24f214a6dfa3858ffb9ecbb8b54089896d2d0c22e24a18ce88c421cc0387a8b,6,Box Score(Team(Porto Alegre Sacis) at Team(FlaLakers)),Team(FlaLakers),4,3,0,753.0,LOSS,62.0,WIN,70.0,LOSS,43.0,WIN,184.0,WIN,322.0,WIN,105.0,LOSS,Team(Porto Alegre Sacis),3,4,0,781.0,WIN,45.0,LOSS,91.0,WIN,37.0,LOSS,149.0,LOSS,313.0,LOSS,83.0,WIN,HOME
30,56d1c3f401c9f8d33bd04c2f8fb13f4b099783527b528f4a3c261df0548c00e3,7,Box Score(Team(Dallas Sem Mavericks) at Team(Botafogo Trentini)),Team(Botafogo Trentini),4,3,0,901.0,WIN,26.0,LOSS,86.0,LOSS,55.0,WIN,279.0,WIN,370.0,WIN,120.0,LOSS,Team(Dallas Sem Mavericks),3,4,0,757.0,LOSS,31.0,WIN,88.0,WIN,50.0,LOSS,147.0,LOSS,297.0,LOSS,86.0,WIN,HOME
31,679c3ea9d90be330ab358a1765358d9dd8777d2083bcf81464cfa77a35a4bbe1,7,Box Score(Team(Miami Raters) at Team(Pestana's)),Team(Pestana's),2,5,0,706.0,LOSS,18.0,LOSS,65.0,LOSS,43.0,LOSS,169.0,LOSS,254.0,WIN,97.0,WIN,Team(Miami Raters),5,2,0,734.0,WIN,19.0,WIN,102.0,WIN,56.0,WIN,230.0,WIN,253.0,LOSS,109.0,LOSS,AWAY
32,efc516896c8d3499f772d68aa7cce6f7d1b115b03a9e2ac2f449420b68cab20f,7,Box Score(Team(Spartans) at Team(Red Devils)),Team(Red Devils),5,2,0,790.0,WIN,27.0,WIN,85.0,WIN,46.0,WIN,145.0,LOSS,244.0,WIN,84.0,LOSS,Team(Spartans),2,5,0,509.0,LOSS,16.0,LOSS,51.0,LOSS,28.0,LOSS,157.0,WIN,155.0,LOSS,73.0,WIN,HOME
33,90d5736cc4d79ef9a9cf96e9f7cf63bc19e26d009e93aa05a3bbb60b0dfb934e,7,Box Score(Team(Team Squirtle) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),6,1,0,781.0,WIN,54.0,WIN,107.0,WIN,64.0,WIN,159.0,WIN,246.0,WIN,98.0,LOSS,Team(Team Squirtle),1,6,0,302.0,LOSS,14.0,LOSS,51.0,LOSS,16.0,LOSS,73.0,LOSS,80.0,LOSS,37.0,WIN,HOME
34,d8cd9e0ec35ac3aaf83ae934860ca36c50e3bb008324242d4a8d00746cf3d6ac,7,Box Score(Team(FlaLakers) at Team(Jamallers)),Team(Jamallers),1,6,0,629.0,LOSS,20.0,LOSS,50.0,LOSS,41.0,LOSS,117.0,LOSS,193.0,LOSS,70.0,WIN,Team(FlaLakers),6,1,0,758.0,WIN,42.0,WIN,83.0,WIN,71.0,WIN,176.0,WIN,290.0,WIN,98.0,LOSS,AWAY
35,809576cc6b46fb79bcb0ec3ae607a2932726196be0cba943360c6ab6a6cb4369,8,Box Score(Team(Pestana's) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),2,5,0,367.0,LOSS,10.0,LOSS,41.0,LOSS,17.0,LOSS,90.0,WIN,119.0,LOSS,47.0,WIN,Team(Pestana's),5,2,0,415.0,WIN,22.0,WIN,42.0,WIN,27.0,WIN,86.0,LOSS,163.0,WIN,61.0,LOSS,AWAY
36,4b8d7e85a8732bae05dad15d0c8da1493a52d51c23f8202f217428e5ee918e0f,8,Box Score(Team(Red Devils) at Team(Miami Raters)),Team(Miami Raters),2,5,0,270.0,LOSS,9.0,LOSS,31.0,LOSS,27.0,WIN,101.0,WIN,106.0,LOSS,46.0,LOSS,Team(Red Devils),5,2,0,479.0,WIN,27.0,WIN,56.0,WIN,22.0,LOSS,91.0,LOSS,166.0,WIN,43.0,WIN,AWAY
37,93553685bdbab28cea2a9ebc7a3adcf04aa49626d1666c516b852ace57e665ff,8,Box Score(Team(Porto Alegre Sacis) at Team(Spartans)),Team(Spartans),0,6,1,339.0,LOSS,6.0,LOSS,54.0,LOSS,28.0,LOSS,89.0,LOSS,83.0,LOSS,45.0,TIE,Team(Porto Alegre Sacis),6,0,1,424.0,WIN,22.0,WIN,60.0,WIN,33.0,WIN,92.0,WIN,161.0,WIN,45.0,TIE,AWAY
38,7809b00aea08ae6a912b29f448d1d74cdc47a6f4eeb25eaf0fe77f7b7fb230bc,8,Box Score(Team(Jamallers) at Team(Team Squirtle)),Team(Team Squirtle),1,6,0,93.0,LOSS,1.0,LOSS,11.0,LOSS,11.0,LOSS,26.0,LOSS,42.0,LOSS,18.0,WIN,Team(Jamallers),6,1,0,189.0,WIN,3.0,WIN,20.0,WIN,13.0,WIN,41.0,WIN,63.0,WIN,27.0,LOSS,AWAY
